Category,Quantity,References,Value,PCB Package,Description
Capacitors,20,"C1-C17,C30-C32",100nF,0603_CAP,"100nF, 25V nickel barrier SMT ceramic chip capacitor"
Capacitors,4,"C18-C20,C34",10uF,1206_CAP,"4.7uF, 16V nickel barrier SMT ceramic chip capacitor"
Capacitors,1,C21,470uF,CAP SMD 10.5X10MM ALUMINUM 470UF/35V,470u 16V 440mA Radial Electrolytic capacitor
Capacitors,1,C22,47uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,Generic electrolytic capacitor
Capacitors,7,"C23-C25,C27-C29,C35",100nF,0603_CAP,CAP .1uF 25V CERAMIC Y5V 0603
Capacitors,1,C26,220uF,CAP SMD 6.3X7.7MM ALUMINUM 220UF/16V,Generic electrolytic capacitor
Resistors,31,"R1-R16,R34,R37,R40,R43,R46,R49,R52,R55,R58-R59,R61-R62,R65-R66,R76",10k,0603_RES,Generic resistor symbol
Resistors,8,R17-R24,20k,1206_RES,Generic resistor symbol
Resistors,8,R25-R32,680,0603_RES,Generic resistor symbol
Resistors,21,"R33,R36,R39,R42,R45,R48,R51,R54,R57,R60,R64,R67-R73,R77,R79,R81",1k,0603_RES,Generic resistor symbol
Resistors,8,"R35,R38,R41,R44,R47,R50,R53,R56",4.7k,0603_RES,Generic resistor symbol
Resistors,3,"R63,R74-R75",10k,0805_RES,Generic resistor symbol
Resistors,2,"R78,R80",536,0603_RES,Generic resistor symbol
Resistors,2,R82-R83,4.7k,RES_ARRAY 0603X4,
Resistors,2,"R84,R168",470,0603_RES,Generic resistor symbol
Integrated Circuits,2,"U1,U7",74HC14,TSSOP14,Hex Schmitt-Triggered Inverters
Integrated Circuits,2,"U2,U8",74HC541,TSSOP20,Octal Buffers And Line Drivers With Tristate Outputs
Integrated Circuits,4,U3-U6,ILD207T,SO8,High Density Mounting Type Photocoupler.
Integrated Circuits,2,"U9,U16",TLP127,SOIC250P670X300-4,High Density Mounting Type Photocoupler.
Integrated Circuits,1,U10,ESP-32s,ESP-32S,WiFi-BT-BLE MCU module
Integrated Circuits,1,U11,"LM2576-3,3",TO170P1410X464-6,Power Converter 150-kHz 1-A Step-Down Voltage Regulator.
Integrated Circuits,1,U12,7812,DPAK-N,12V Fixed 1A Positive Power Supply Regulator.
Integrated Circuits,1,U13,LD1117S33,SOT230P700X180-4,Low Dropout Fixed and Adjustable Positive Voltage Regulators.
Integrated Circuits,1,U14,CH340CE,SO16,
Integrated Circuits,2,"U15,U17",LM358N,SO8,"Dual, Low Power Operational Amplifier"
Integrated Circuits,1,U18,AT24C512B,SO8,512k-bit 65536x8 I2C serial EEPROM memory with WPT and address select (400kHz @ 1.8V/5ms)
Integrated Circuits,1,U19,DS3232,SO16W,Extremely Accurate I2C RTC with Integrated Crystal and SRAM.
Transistors,13,Q1-Q13,"PMBT3904,215",SOT23-3,"Silicon NPN Low Power High Frequency Bipolar Transistor (350mW, 150ºC)"
Transistors,1,Q14,FQD11P06TM,DPAK-N,100V P-Channel MOSFET
Diodes,8,D1-D8,LED-GREEN,LEDC1608X60,Animated LED model (Green)
Diodes,2,"D9,D28",SS14-TP,DIOM5226X230N,DIODE SCHOTTKY 30V 1A DO-214AA
Diodes,8,"D10,D12,D14,D16,D18,D20,D22,D24",RR1VWM6STFTR,SOD2614X116,Silicon Rectifier. Maximum Recurrent Peak Reverse Voltage 50V. Maximum Average Forward Rectified Current 1.0A
Diodes,11,"D11,D13,D15,D17,D19,D21,D23,D25,D30-D32",LED-RED,LEDC2012X120,Animated LED model (Red)
Diodes,2,D26-D27,MMSZ3V6CW,SOD123,3.6V 69mA Zener Diode
Diodes,1,D29,B330A-13-F,DIOM5226X230N,DIODE SCHOTTKY 30V 1A DO-214AA
Diodes,2,"D33,D66",1N4148W,SOD123,1kV 1A 1.3V @ 1A SOD-123 Diodes - General Purpose RoHS
Miscellaneous,1,BAT1,3V,BAT 3V EG,Battery (single-cell)
Miscellaneous,2,BTN1-BTN2,RST,BUTTON SMD 2P,SPST Push Button
Miscellaneous,1,F1,1A,FUSE SMD,Animated Fuse model
Miscellaneous,1,J1,KFM736-5_0-5P,KFM736-5.0-5P P=5.0MM,5 0.197(5.00mm) 17A 450V 12~28 2.5 P=5.0mm Spring Clamp System Terminal Block RoHS
Miscellaneous,4,"J2,J5-J6,J8",TBLOCK-M2,T-BLOCK 2PIN BLUE,Metric pitch terminal block
Miscellaneous,3,"J3-J4,J7",TBLOCK-M3,T-BLOCK 3PIN BLUE,Metric pitch terminal block
Miscellaneous,1,J9,MICRO USB B,MICRO USB B,Imperial pitch terminal block
Miscellaneous,1,J10,CONN-H4,CONN-SIL4,Generic header block (mixed SIL/DIL packaging)
Miscellaneous,1,L1,100u,SMD 12.5X12.5X5MM,INDUCTOR FIXED SMD 100uH 10%
Miscellaneous,1,LCD1,OLED12864I2C,CONN-SIL4,128x64 Graphical LCD with SSD1306 controller.
Miscellaneous,8,RL1-RL8,HF49FD/012-1H12G,RELAY24VPLC V1,"MINIATURE TYCO PCB RELAY, SPNO, 24V COIL"
