"LCSC Part Number","Manufacture Part Number","Manufacturer","Package","Customer #","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price","Product Link"
"C340662","HF49FD/012-1H12G","HF(Xiamen Hongfa Electroacoustic)","Plugin","","12VDC SPST 5A General Purpose Non Latching Plugin Power Relays ROHS","yes","10","1","1.3435","13.44","https://assets.lcsc.com/images/lcsc/96x96/20181207_HF-Xiamen-Hongfa-Electroacoustic-HF49FD-012-1H12G_C340662_front.jpg"
"C475235","KFM736-5.0-5P","Cixi Kefa Elec","P=5.0mm","","5 0.197""（5.00mm） 17A 450V 12~28 2.5 P=5.0mm Spring Clamp System Terminal Block ROHS","yes","3","1","1.3363","4.01","https://assets.lcsc.com/images/lcsc/96x96/20200117_Cixi-Kefa-Elec-KFM736-5-0-5P_C475235_front.jpg"
"C71049","ILD207T","Vishay Intertech","SO-8_3.9mm","","DC 2 4000Vrms Transistor Output Optocouplers SO-8_3.9mm Optocouplers - Phototransistor Output ROHS","yes","4","1","0.8151","3.26","https://assets.lcsc.com/images/lcsc/96x96/20180914_Vishay-Intertech-ILD207T_C71049_front.jpg"
"C5001","TLP127(TPL,U,F)","TOSHIBA","SOP-4_P2.54","","DC 1 2500Vrms Transistor Output Optocouplers SOP-4_P2.54 Optocouplers - Phototransistor Output ROHS","yes","5","1","0.4761","2.38","https://assets.lcsc.com/images/lcsc/96x96/20180914_TOSHIBA-TLP127-TPL-U-F_C5001_front.jpg"
"C596344","LM2576R-15","HTC Korea TAEJIN Tech","TO-263-5L",""," TO-263-5L DC-DC Converters ROHS","yes","3","1","0.7484","2.25","https://assets.lcsc.com/images/lcsc/96x96/20200619_HTC-Korea-TAEJIN-Tech-LM2576R-15_C596344_front.jpg"
"C84681","CH340C","WCH(Jiangsu Qin Heng)","SOP-16_150mil","","USB 2.0 Transceiver 2Mbps SOP-16_150mil USB ICs ROHS","yes","3","1","0.7484","2.25","https://assets.lcsc.com/images/lcsc/96x96/20200722_WCH-Jiangsu-Qin-Heng-CH340C_C84681_front.jpg"
"C79986","CAT24C512WI-GT3","ON Semiconductor","SOIC-8_150mil","","I2C 512Kb (64K x 8) 1.8V ~ 5.5V Non-Volatile SOIC-8_150mil EEPROM ROHS","yes","10","1","0.4076","4.08","https://assets.lcsc.com/images/lcsc/96x96/20190220_ON-Semiconductor-CAT24C512WI-GT3_C79986_front.jpg"
"C8667","PMBT3904,215","Nexperia","SOT-23(SOT-23-3)","","0.2A NPN 0.25W 40V SOT-23(SOT-23-3) Bipolar Transistors - BJT ROHS","yes","50","50","0.0175","0.88","https://assets.lcsc.com/images/lcsc/96x96/20180914_Nexperia-PMBT3904-215_C8667_front_11.jpg"
"C719783","FQD11P06TM","ON Semiconductor","D-PAK",""," D-PAK MOSFETs ROHS","yes","3","1","0.6059","1.82","https://assets.lcsc.com/images/lcsc/96x96/20201009_ON-Semiconductor-FQD11P06TM_C719783_front.jpg"
"C965805","XL-1608SYGC-06","XINGLIGHT","0603","","Green-yellow 571~575nm 0603 Light Emitting Diodes (LED) ROHS","yes","50","50","0.0055","0.28","https://assets.lcsc.com/images/lcsc/96x96/20201230_XINGLIGHT-XL-1608SYGC-06_C965805_front.jpg"
"C248749","MMSZ3V6CW","Tak Cheong","SOD-123","","±5% 3.6V 4.5uA @ 1V 500mW SOD-123 Zener Diodes ROHS","yes","20","20","0.0172","0.34","https://assets.lcsc.com/images/lcsc/96x96/20180914_Tak-Cheong-MMSZ3V6CW_C248749_front.jpg"
"C509048","SS14","Guangdong Hottech","SMA(DO-214AC)",""," SMA(DO-214AC) Schottky Barrier Diodes (SBD) ROHS","yes","20","20","0.0228","0.46","https://assets.lcsc.com/images/lcsc/96x96/20200415_Guangdong-Hottech-SS14_C509048_front.jpg"
"C110485","B330A-13-F","Diodes Incorporated","SMA(DO-214AC)","","30V 3A 500mV @ 3A SMA(DO-214AC) Schottky Barrier Diodes (SBD) ROHS","yes","5","5","0.1746","0.87","https://assets.lcsc.com/images/lcsc/96x96/20180914_Diodes-Incorporated-B330A-13-F_C110485_front_10.jpg"
"C2840890","1N4148W","powersilicon","SOD-123",""," SOD-123 Switching Diode ROHS","yes","50","50","0.0113","0.57","https://assets.lcsc.com/images/lcsc/96x96/20210715_powersilicon-1N4148W_C2840890_front.jpg"
"C465061","JT1140ECKEM","NAMAE","SMD","","Top Actuated Round Button SPST SMD Tactile Switches ROHS","yes","10","5","0.0788","0.79","https://assets.lcsc.com/images/lcsc/96x96/20191220_NAMAE-JT1140ECKEM_C465061_front.jpg"
"C182303","06H1100D","Shenzhen lanson Elec","0603","","0.017 50A 1A Chip Fuse 0603 Fuses ROHS","yes","20","20","0.0328","0.66","https://assets.lcsc.com/images/lcsc/96x96/20180914_Shenzhen-lanson-Elec-06H1100D_C182303_front.jpg"
"C40949","920-F62A2021S10101","Jing Extension of the Electronic Co.","-","","Receptacle USB - Micro B 5 USB 2.0 - USB Connectors ROHS","yes","10","5","0.0779","0.78","https://assets.lcsc.com/images/lcsc/96x96/20180914_Jing-Extension-of-the-Electronic-Co--920-F62A2021S10101_C40949_front.jpg"
"C36970","SMDRI74-101MT","SXN(Shun Xiang Nuo Elec)","SMD",""," SMD Power Inductors ROHS","yes","10","1","0.1664","1.66","https://assets.lcsc.com/images/lcsc/96x96/20200822_SXN-Shun-Xiang-Nuo-Elec-SMDRI74-101MT_C36970_front.jpg"
"C253524","RR1VWM6STFTR","ROHM Semicon","PMDE","","Single 10uA 600V 1.08V 1A 1A 600V PMDE Diodes - General Purpose ROHS","yes","20","5","0.123","2.46","https://assets.lcsc.com/images/lcsc/96x96/20180914_ROHM-Semicon-RR1VWM6STFTR_C253524_front.jpg"
"C84263","NCD0603R1","Foshan NationStar Optoelectronics","0603","","Red 615~630nm 0603 Light Emitting Diodes (LED) ROHS","yes","50","50","0.0095","0.48","https://assets.lcsc.com/images/lcsc/96x96/20180914_Foshan-NationStar-Optoelectronics-NCD0603R1_C84263_front.jpg"
